reorder_id,product_id,reorder_quantity,reorder_date,status
1,164,140,2024-10-26,Received
2,3,127,2025-01-28,Ordered
3,155,234,2024-09-13,Ordered
4,34,221,2024-10-30,Pending
5,114,62,2024-08-02,Ordered
6,134,86,2024-05-22,Ordered
7,169,115,2024-08-09,Pending
8,109,226,2024-07-09,Pending
9,80,150,2025-03-18,Received
10,70,117,2024-06-27,Pending
11,177,213,2024-08-10,Ordered
12,27,247,2024-07-26,Ordered
13,141,84,2024-09-13,Received
14,71,193,2024-10-11,Ordered
15,35,80,2025-01-30,Ordered
16,166,157,2024-11-07,Pending
17,18,252,2025-03-01,Pending
18,60,252,2025-03-04,Ordered
19,110,193,2025-05-17,Ordered
20,89,211,2024-05-28,Received
21,173,67,2025-01-20,Received
22,26,146,2025-01-27,Ordered
23,102,191,2024-07-02,Received
24,35,247,2024-05-26,Ordered
25,129,207,2024-12-26,Ordered
26,169,165,2024-09-08,Ordered
27,86,121,2025-03-07,Received
28,85,72,2024-07-24,Pending
29,58,214,2025-02-20,Ordered
30,47,150,2025-03-18,Ordered
31,183,129,2024-11-12,Received
32,87,165,2024-07-23,Received
33,146,63,2024-05-22,Ordered
34,120,121,2025-02-15,Ordered
35,127,188,2025-04-10,Pending
36,187,107,2024-09-14,Received
37,18,61,2024-05-30,Pending
38,97,207,2024-08-17,Pending
39,5,272,2024-07-08,Ordered
40,48,156,2024-09-18,Pending
41,195,173,2024-11-28,Ordered
42,134,167,2024-05-25,Received
43,79,230,2024-12-11,Received
44,165,244,2025-01-09,Ordered
45,66,272,2025-03-01,Ordered
46,168,263,2024-09-09,Received
47,29,164,2024-09-13,Received
48,94,122,2024-08-01,Received
49,197,65,2024-09-16,Ordered
50,36,295,2025-02-07,Received
51,4,209,2024-10-10,Received
52,65,74,2025-05-11,Received
53,67,197,2024-12-03,Pending
54,182,197,2025-03-15,Received
55,153,79,2024-06-27,Pending
56,61,57,2025-05-18,Received
57,33,114,2024-06-27,Ordered
58,145,254,2025-04-09,Pending
59,136,138,2025-04-26,Pending
60,36,298,2025-03-17,Ordered
61,143,238,2024-11-16,Received
62,15,93,2024-11-05,Pending
63,112,252,2025-01-04,Received
64,142,236,2024-05-30,Ordered
65,39,293,2024-12-18,Pending
66,172,167,2024-06-10,Pending
67,58,70,2024-08-01,Ordered
68,74,183,2024-06-04,Received
69,90,128,2024-08-11,Ordered
70,160,57,2024-10-08,Ordered
71,185,138,2024-12-22,Ordered
72,91,129,2025-05-12,Pending
73,176,98,2025-03-15,Pending
74,59,126,2025-03-30,Ordered
75,38,251,2024-07-06,Pending
76,28,234,2024-10-30,Ordered
77,139,285,2024-09-15,Pending
78,161,204,2025-01-29,Pending
79,96,185,2024-08-07,Ordered
80,136,167,2024-06-07,Ordered
81,93,59,2024-07-23,Received
82,155,184,2024-12-11,Received
83,156,187,2024-08-02,Ordered
84,146,139,2025-05-16,Received
85,192,232,2025-01-05,Received
86,155,189,2024-11-19,Received
87,152,185,2024-09-19,Received
88,27,261,2024-12-25,Received
89,131,243,2025-01-24,Pending
90,185,126,2024-09-29,Received
91,186,117,2025-03-22,Ordered
92,34,114,2025-04-23,Ordered
93,83,159,2024-10-09,Pending
94,173,174,2025-03-28,Received
95,43,164,2024-07-08,Pending
96,152,233,2024-12-06,Received
97,40,126,2024-09-08,Received
98,50,176,2024-07-29,Pending
99,70,100,2024-10-10,Pending
100,197,153,2025-03-28,Pending
101,143,204,2024-09-02,Received
102,190,233,2024-07-08,Pending
103,110,181,2025-01-18,Received
104,94,144,2024-10-29,Ordered
105,166,258,2024-11-15,Received
106,1,99,2025-02-27,Received
107,134,90,2025-01-28,Pending
108,101,78,2024-08-06,Received
109,159,147,2024-10-08,Received
110,35,181,2024-09-14,Received
111,36,179,2024-07-29,Pending
112,108,77,2024-07-31,Received
113,80,153,2025-02-17,Received
114,104,180,2024-06-17,Ordered
115,120,142,2024-10-15,Pending
116,34,60,2024-09-01,Ordered
117,49,148,2025-04-17,Ordered
118,38,212,2024-07-04,Received
119,185,121,2024-11-16,Ordered
120,108,217,2025-03-01,Received
121,87,253,2024-10-16,Received
122,51,119,2025-02-18,Received
123,113,231,2024-09-04,Pending
124,152,226,2025-03-04,Received
125,167,296,2024-06-15,Pending
126,86,135,2024-08-31,Received
127,83,232,2025-03-14,Ordered
128,125,211,2024-11-04,Pending
129,98,284,2025-01-29,Received
130,106,210,2025-02-01,Ordered
131,56,136,2024-08-07,Received
132,104,162,2024-11-13,Ordered
133,157,285,2024-12-29,Ordered
134,122,288,2024-08-28,Received
135,158,276,2024-10-27,Pending
136,101,195,2024-12-12,Pending
137,162,271,2024-12-22,Pending
138,85,90,2024-07-13,Received
139,8,248,2024-12-31,Pending
140,83,110,2025-05-13,Pending
141,182,246,2025-04-09,Pending
142,106,174,2024-07-04,Received
143,98,114,2024-12-31,Received
144,105,188,2025-01-25,Pending
145,35,245,2025-01-06,Received
146,68,137,2024-12-16,Ordered
147,53,233,2025-04-08,Received
148,52,84,2025-02-20,Received
149,134,291,2025-02-26,Received
150,125,95,2025-03-04,Received
151,59,74,2025-04-28,Pending
152,134,223,2024-07-19,Ordered
153,71,192,2024-09-19,Pending
154,18,56,2024-10-25,Received
155,66,276,2024-07-02,Pending
156,181,118,2024-06-05,Pending
157,158,246,2025-01-30,Received
158,44,134,2025-04-25,Pending
159,177,282,2024-06-18,Ordered
160,174,54,2025-05-07,Ordered
161,171,202,2024-10-16,Ordered
162,79,163,2024-11-10,Pending
163,152,180,2025-02-24,Ordered
164,138,69,2024-10-21,Ordered
165,27,96,2024-11-09,Ordered
166,18,210,2024-09-10,Ordered
167,51,226,2025-02-24,Received
168,92,243,2024-11-22,Pending
169,187,56,2025-01-02,Pending
170,102,95,2025-03-09,Pending
171,35,207,2024-05-26,Pending
172,9,183,2024-06-25,Pending
173,177,70,2024-08-01,Ordered
174,112,81,2025-01-02,Ordered
175,185,90,2024-08-10,Ordered
176,135,197,2024-10-22,Received
177,141,201,2024-10-31,Received
178,59,184,2025-01-03,Received
179,23,195,2024-07-27,Ordered
180,129,146,2024-08-09,Received
181,158,199,2024-08-29,Pending
182,25,203,2024-05-29,Ordered
183,199,128,2024-07-06,Received
184,193,140,2024-06-10,Received
185,185,244,2025-03-01,Received
186,48,76,2024-07-26,Ordered
187,99,120,2024-08-11,Ordered
188,40,113,2025-02-28,Pending
189,44,134,2025-01-19,Ordered
190,191,224,2025-03-06,Pending
191,69,293,2024-12-17,Ordered
192,181,251,2025-05-03,Received
193,160,185,2024-07-22,Ordered
194,19,236,2024-07-04,Pending
195,112,225,2024-10-09,Pending
196,66,113,2024-07-03,Ordered
197,41,101,2024-07-06,Ordered
198,16,114,2024-05-30,Ordered
199,194,283,2024-11-14,Ordered
200,108,57,2025-03-10,Pending
201,23,68,2024-11-02,Ordered
202,57,134,2024-11-14,Ordered
203,152,140,2024-09-19,Received
204,51,91,2024-12-13,Ordered
205,71,145,2025-05-11,Pending
206,56,270,2025-01-29,Pending
207,4,52,2024-08-12,Received
208,142,264,2024-11-04,Received
209,43,184,2025-04-06,Ordered
210,157,269,2025-02-20,Pending
211,76,204,2024-07-19,Pending
212,33,209,2024-09-04,Pending
213,135,70,2024-11-17,Received
214,129,238,2024-11-06,Ordered
215,168,82,2024-09-20,Received
216,41,73,2024-12-29,Ordered
217,135,115,2025-03-02,Received
218,130,254,2024-09-10,Pending
219,22,171,2024-07-14,Ordered
220,196,95,2024-08-16,Received
221,101,78,2024-07-23,Received
222,138,221,2024-05-22,Ordered
223,105,171,2025-04-07,Received
224,170,132,2025-03-21,Received
225,79,280,2024-12-31,Ordered
226,108,282,2024-11-26,Pending
227,56,288,2024-11-11,Received
228,109,240,2024-05-25,Received
229,7,271,2024-08-29,Ordered
230,84,54,2025-03-27,Ordered
231,131,72,2024-08-20,Pending
232,18,284,2024-12-16,Ordered
233,1,51,2024-11-16,Ordered
234,130,268,2024-11-03,Ordered
235,162,140,2024-06-15,Pending
236,117,74,2024-12-21,Received
237,59,181,2024-08-31,Ordered
238,29,123,2024-06-09,Pending
239,53,197,2024-06-15,Received
240,82,187,2024-06-24,Received
241,39,286,2025-01-19,Received
242,35,154,2024-07-18,Pending
243,90,242,2024-08-01,Pending
244,69,71,2024-09-03,Ordered
245,49,71,2025-03-28,Ordered
246,43,297,2025-04-28,Ordered
247,35,57,2025-04-03,Received
248,15,55,2024-09-21,Received
249,165,241,2024-10-09,Received
250,123,262,2024-12-05,Ordered
251,184,228,2025-02-24,Received
252,78,243,2024-09-19,Received
253,167,127,2024-07-03,Received
254,172,247,2025-04-25,Ordered
255,161,52,2025-05-06,Received
256,104,182,2025-04-17,Pending
257,22,102,2024-10-11,Received
258,92,300,2024-12-16,Ordered
259,125,98,2024-12-28,Ordered
260,78,194,2025-02-23,Received
261,8,147,2025-01-03,Pending
262,57,149,2024-08-24,Received
263,29,145,2024-09-08,Received
264,80,270,2024-09-10,Ordered
265,107,73,2024-11-03,Ordered
266,82,282,2024-11-30,Received
267,41,250,2024-09-20,Ordered
268,107,63,2024-06-07,Pending
269,18,251,2024-10-30,Pending
270,16,161,2024-05-28,Pending
271,58,66,2024-09-28,Received
272,78,86,2025-05-12,Pending
273,118,281,2024-10-30,Ordered
274,172,117,2025-01-26,Received
275,82,157,2025-01-27,Ordered
276,160,87,2024-06-17,Pending
277,53,251,2025-04-15,Received
278,157,96,2025-04-14,Pending
279,75,266,2024-11-27,Pending
280,183,151,2025-01-22,Ordered
281,16,271,2025-03-15,Pending
282,79,228,2025-05-05,Pending
283,13,164,2025-01-31,Ordered
284,7,63,2024-11-25,Ordered
285,98,237,2024-08-02,Pending
286,82,269,2025-05-04,Pending
287,27,148,2025-04-13,Received
288,171,207,2024-11-07,Ordered
289,106,175,2024-08-27,Received
290,169,127,2024-08-06,Pending
291,156,146,2024-07-06,Ordered
292,87,71,2024-06-18,Ordered
293,8,297,2024-05-26,Pending
294,161,132,2024-06-28,Received
295,111,156,2024-11-19,Pending
296,102,239,2025-02-04,Ordered
297,142,204,2025-03-26,Pending
298,83,281,2024-10-22,Received
299,75,139,2024-06-29,Received
300,93,164,2025-02-24,Received
301,113,203,2025-01-03,Pending
302,143,81,2024-06-24,Received
303,77,213,2025-04-18,Pending
304,27,55,2024-07-09,Ordered
305,176,202,2024-06-21,Received
306,27,158,2024-05-31,Received
307,54,64,2024-06-13,Pending
308,46,199,2024-11-21,Ordered
309,51,116,2024-11-27,Ordered
310,134,147,2024-12-03,Pending
311,23,276,2024-08-14,Ordered
312,40,182,2025-05-14,Ordered
313,87,296,2024-09-14,Ordered
314,190,241,2024-08-13,Pending
315,141,72,2024-09-20,Received
316,70,277,2024-08-13,Received
317,129,257,2024-08-08,Received
318,134,87,2025-01-27,Received
319,195,230,2024-11-05,Received
320,4,275,2025-05-11,Ordered
321,145,120,2024-12-01,Ordered
322,21,288,2024-06-26,Received
323,66,80,2024-12-21,Received
324,116,134,2025-03-01,Received
325,146,213,2025-05-02,Pending
326,163,125,2025-05-20,Received
327,1,169,2024-07-18,Received
328,4,122,2025-04-14,Pending
329,169,231,2024-10-20,Ordered
330,13,58,2025-02-01,Pending
331,67,213,2024-10-25,Pending
332,48,237,2024-10-14,Pending
333,168,62,2025-04-04,Pending
334,118,157,2025-05-09,Received
335,183,236,2024-08-22,Pending
336,24,156,2025-03-14,Received
337,179,163,2025-03-12,Received
338,24,247,2024-12-19,Received
339,5,175,2024-10-21,Ordered
340,22,110,2024-10-08,Pending
341,114,274,2024-06-08,Pending
342,57,292,2024-12-17,Ordered
343,52,172,2024-12-07,Received
344,14,83,2024-11-13,Pending
345,78,129,2024-12-13,Received
346,51,107,2025-03-31,Ordered
347,45,140,2025-02-26,Ordered
348,110,156,2024-12-10,Received
349,53,219,2024-09-20,Ordered
350,129,113,2025-05-04,Ordered
351,168,106,2024-07-29,Received
352,100,233,2024-07-13,Received
353,53,52,2024-11-28,Ordered
354,152,68,2024-12-12,Received
355,146,187,2025-04-18,Received
356,32,69,2024-09-18,Pending
357,126,98,2024-11-17,Received
358,196,201,2025-01-28,Pending
359,26,172,2024-07-31,Received
360,6,164,2024-10-14,Pending
361,126,110,2025-05-10,Received
362,1,235,2025-01-20,Pending
363,17,234,2024-06-30,Pending
364,200,194,2024-10-08,Pending
365,107,145,2024-08-19,Pending
366,73,278,2024-09-05,Received
367,159,150,2024-08-15,Received
368,126,197,2025-05-16,Ordered
369,74,111,2024-09-28,Ordered
370,143,90,2024-11-01,Ordered
371,162,151,2024-09-22,Ordered
372,21,271,2025-03-05,Pending
373,106,181,2025-05-10,Received
374,11,187,2025-05-14,Received
375,165,117,2025-03-04,Received
376,16,132,2024-08-04,Received
377,131,194,2024-07-18,Ordered
378,110,199,2024-12-14,Ordered
379,141,110,2024-11-05,Received
380,192,99,2025-01-18,Received
381,70,220,2024-06-12,Received
382,116,116,2024-12-22,Ordered
383,118,129,2024-05-25,Pending
384,86,191,2025-04-29,Received
385,57,106,2024-07-31,Received
386,170,265,2024-05-25,Received
387,122,292,2024-11-26,Ordered
388,4,108,2024-08-10,Received
389,152,97,2024-09-28,Ordered
390,103,105,2024-07-09,Ordered
391,86,266,2024-08-21,Ordered
392,186,294,2024-11-01,Pending
393,183,281,2025-01-25,Pending
394,40,286,2025-02-16,Received
395,170,50,2025-03-31,Received
396,79,163,2025-02-26,Pending
397,168,72,2024-11-11,Pending
398,178,214,2025-02-17,Ordered
399,185,262,2024-12-12,Ordered
400,197,195,2024-09-16,Pending
401,140,203,2024-12-18,Received
402,195,103,2024-09-15,Pending
403,12,233,2024-06-23,Ordered
404,38,169,2025-03-18,Received
405,62,54,2024-09-18,Pending
406,103,251,2024-06-01,Pending
407,69,78,2024-08-24,Pending
408,83,254,2024-10-05,Received
409,63,145,2024-07-08,Pending
410,174,112,2024-12-25,Ordered
411,166,151,2024-12-22,Pending
412,119,216,2024-08-28,Received
413,97,89,2024-07-16,Ordered
414,137,67,2024-11-19,Received
415,14,262,2025-01-17,Ordered
416,173,125,2024-11-29,Ordered
417,180,277,2025-04-02,Ordered
418,146,134,2024-06-30,Pending
419,158,187,2025-04-01,Ordered
420,49,296,2025-04-21,Ordered
421,84,138,2024-11-27,Received
422,123,213,2025-03-23,Pending
423,128,97,2024-07-23,Pending
424,13,217,2025-02-01,Pending
425,47,195,2024-09-02,Received
426,172,193,2024-11-07,Ordered
427,120,249,2024-06-02,Received
428,127,88,2024-07-22,Pending
429,116,134,2025-04-18,Pending
430,140,197,2025-04-12,Pending
431,45,215,2024-11-04,Received
432,117,186,2025-02-17,Ordered
433,39,227,2024-08-05,Pending
434,78,147,2024-05-28,Received
435,118,294,2024-09-06,Received
436,133,265,2025-02-12,Received
437,169,149,2024-08-10,Received
438,126,128,2024-12-18,Ordered
439,18,139,2024-07-23,Received
440,119,189,2024-10-09,Received
441,186,160,2024-06-21,Received
442,145,181,2025-05-04,Pending
443,92,118,2024-12-21,Pending
444,181,201,2024-08-05,Ordered
445,152,280,2024-06-16,Received
446,51,134,2024-08-10,Received
447,32,271,2024-07-07,Ordered
448,164,61,2024-06-23,Received
449,143,100,2025-03-08,Ordered
450,49,144,2024-12-24,Ordered
451,101,65,2025-03-17,Ordered
452,78,223,2024-11-29,Pending
453,170,220,2024-09-18,Received
454,168,178,2024-08-31,Ordered
455,172,232,2024-11-29,Pending
456,8,177,2024-11-16,Pending
457,1,296,2025-03-11,Received
458,90,248,2025-01-11,Pending
459,200,292,2025-03-04,Received
460,28,282,2024-08-14,Pending
461,139,143,2024-10-09,Received
462,16,157,2024-07-19,Received
463,47,225,2025-05-14,Ordered
464,184,157,2024-08-27,Pending
465,38,136,2025-03-06,Pending
466,46,267,2025-02-15,Pending
467,109,216,2025-03-01,Ordered
468,113,105,2025-04-25,Pending
469,70,274,2025-02-28,Pending
470,157,268,2024-11-11,Received
471,191,222,2025-01-03,Ordered
472,7,192,2025-03-24,Ordered
473,178,129,2024-10-12,Pending
474,70,221,2025-01-16,Received
475,138,125,2024-09-13,Pending
476,116,205,2025-03-09,Pending
477,72,124,2025-01-22,Pending
478,181,73,2024-06-25,Ordered
479,200,51,2024-11-27,Ordered
480,186,62,2024-11-30,Ordered
481,148,282,2025-03-19,Pending
482,100,77,2025-02-27,Pending
483,139,217,2024-08-15,Ordered
484,147,146,2024-12-24,Pending
485,83,194,2024-07-29,Received
486,93,115,2024-10-09,Pending
487,55,258,2025-04-30,Ordered
488,133,256,2024-10-20,Received
489,119,243,2025-03-31,Pending
490,60,68,2025-02-20,Received
491,198,182,2025-01-29,Received
492,172,163,2024-07-31,Received
493,98,287,2024-10-20,Ordered
494,61,217,2025-02-09,Pending
495,61,172,2025-03-30,Ordered
496,86,141,2024-10-08,Received
497,81,287,2025-03-21,Received
498,5,175,2024-09-04,Ordered
499,77,56,2025-01-10,Ordered
500,44,65,2024-09-12,Pending
