shipment_id,product_id,supplier_id,quantity_received,shipment_date
1,152,10,130,2024-11-27
2,86,24,47,2024-10-18
3,30,10,373,2025-02-04
4,26,13,127,2025-02-22
5,129,43,234,2024-10-02
6,200,1,165,2025-03-15
7,177,22,290,2024-10-31
8,116,26,371,2024-12-31
9,179,38,438,2024-06-16
10,106,15,449,2024-08-16
11,161,19,95,2024-10-18
12,19,26,369,2025-02-19
13,165,22,394,2024-11-09
14,55,39,68,2025-02-13
15,56,33,207,2025-04-26
16,108,26,238,2024-08-27
17,113,17,246,2025-04-05
18,128,18,411,2024-10-10
19,51,2,192,2025-02-03
20,80,46,488,2024-10-25
21,71,32,500,2025-05-05
22,83,31,481,2024-07-03
23,118,30,357,2024-08-18
24,103,5,53,2024-11-04
25,164,50,178,2025-05-17
26,80,46,223,2025-04-10
27,125,24,434,2024-11-20
28,76,33,244,2024-11-16
29,112,27,161,2024-08-15
30,76,33,175,2024-11-05
31,170,26,318,2024-06-01
32,107,31,366,2025-04-17
33,73,37,402,2024-08-26
34,19,26,341,2025-03-19
35,147,21,458,2025-04-22
36,41,14,168,2024-10-30
37,140,13,396,2025-01-25
38,14,18,500,2025-03-15
39,159,43,152,2024-12-17
40,79,22,92,2025-04-27
41,135,16,470,2025-03-07
42,150,5,54,2025-01-06
43,167,21,129,2024-07-05
44,195,16,316,2025-01-10
45,120,21,133,2024-11-26
46,172,46,249,2024-12-18
47,76,33,320,2024-12-08
48,115,31,191,2024-07-11
49,75,18,317,2024-05-23
50,110,6,19,2024-12-26
51,193,22,109,2024-08-04
52,105,34,245,2024-05-21
53,162,21,156,2024-10-21
54,127,2,191,2024-09-24
55,58,9,380,2024-09-18
56,77,38,145,2024-11-27
57,183,45,100,2024-07-16
58,10,40,368,2025-01-24
59,126,28,42,2024-08-24
60,126,28,21,2025-03-31
61,73,37,363,2024-12-27
62,132,26,363,2025-01-05
63,40,3,117,2025-01-30
64,39,3,212,2024-08-01
65,195,16,329,2025-04-08
66,38,25,215,2025-01-02
67,168,46,158,2024-09-06
68,151,36,283,2024-11-17
69,35,38,104,2024-12-25
70,188,34,243,2025-03-31
71,36,3,473,2024-09-16
72,6,39,463,2024-11-10
73,91,28,453,2024-09-03
74,159,43,266,2025-03-02
75,33,22,348,2024-12-16
76,125,24,436,2024-08-24
77,60,31,238,2025-02-21
78,145,21,299,2025-02-03
79,104,44,443,2025-05-14
80,100,45,479,2025-02-25
81,68,13,241,2025-03-25
82,9,48,85,2024-07-14
83,6,39,237,2024-08-23
84,14,18,57,2024-09-15
85,140,13,267,2024-11-20
86,181,38,251,2024-12-06
87,145,21,306,2025-02-13
88,76,33,209,2025-04-22
89,166,17,127,2024-10-16
90,132,26,324,2025-01-14
91,137,1,247,2025-05-14
92,37,25,170,2025-03-20
93,26,13,189,2024-06-07
94,55,39,306,2025-05-03
95,166,17,292,2025-01-05
96,72,46,33,2025-05-15
97,105,34,479,2024-08-19
98,187,26,338,2024-11-22
99,58,9,265,2024-09-08
100,89,47,490,2024-11-05
101,187,26,144,2024-10-16
102,168,46,329,2024-07-31
103,71,32,346,2024-06-17
104,107,31,177,2024-11-17
105,172,46,482,2024-11-25
106,180,31,162,2025-03-13
107,55,39,429,2024-08-21
108,9,48,266,2024-09-28
109,81,42,403,2024-10-31
110,163,50,222,2024-11-15
111,171,11,63,2024-12-10
112,166,17,307,2025-01-25
113,38,25,495,2025-01-29
114,57,38,259,2024-07-15
115,10,40,167,2025-01-25
116,150,5,194,2024-12-04
117,69,6,415,2024-12-13
118,144,37,123,2024-05-25
119,104,44,141,2024-06-04
120,148,46,373,2024-12-04
121,43,43,166,2025-02-01
122,83,31,13,2024-09-22
123,4,49,331,2024-08-20
124,89,47,285,2025-02-15
125,25,34,459,2024-07-12
126,129,43,174,2024-12-13
127,140,13,50,2024-07-03
128,19,26,240,2024-07-22
129,15,37,245,2024-05-21
130,7,44,379,2025-04-27
131,1,19,279,2024-07-12
132,120,21,396,2025-02-20
133,95,27,28,2024-05-23
134,129,43,91,2025-02-09
135,24,40,244,2024-08-30
136,196,30,158,2025-02-22
137,85,14,70,2025-01-31
138,28,6,389,2025-02-16
139,149,45,265,2024-12-11
140,5,5,26,2025-05-05
141,24,40,140,2025-03-24
142,124,20,59,2024-08-18
143,190,34,476,2024-11-26
144,153,4,233,2024-06-15
145,188,34,461,2025-02-18
146,50,7,64,2025-04-29
147,9,48,177,2024-09-23
148,2,42,39,2025-03-17
149,96,45,404,2024-08-30
150,158,18,402,2024-07-21
151,198,6,62,2025-03-08
152,28,6,125,2025-05-05
153,115,31,349,2024-09-29
154,20,39,73,2024-11-03
155,185,40,366,2024-09-30
156,198,6,500,2024-09-07
157,138,41,64,2025-01-27
158,74,6,419,2024-09-19
159,75,18,176,2025-04-05
160,169,32,433,2025-03-15
161,105,34,450,2025-05-01
162,46,22,324,2024-11-16
163,178,4,349,2024-08-28
164,158,18,473,2024-12-31
165,41,14,323,2024-09-21
166,61,20,378,2024-09-22
167,51,2,25,2025-02-22
168,61,20,273,2025-04-12
169,199,49,480,2025-03-16
170,186,49,115,2025-01-04
171,160,45,240,2024-09-10
172,14,18,128,2025-04-09
173,104,44,479,2024-06-19
174,73,37,399,2025-02-12
175,14,18,17,2025-01-03
176,88,9,475,2024-07-21
177,183,45,98,2024-10-23
178,146,32,487,2025-04-03
179,148,46,254,2024-05-29
180,3,23,27,2024-05-29
181,147,21,372,2024-11-13
182,100,45,51,2024-07-26
183,61,20,145,2025-04-13
184,67,33,156,2024-06-18
185,76,33,336,2025-02-15
186,167,21,136,2024-12-13
187,96,45,265,2024-05-24
188,42,12,436,2024-10-26
189,180,31,197,2025-05-14
190,80,46,379,2025-02-07
191,161,19,224,2025-02-20
192,39,3,159,2025-04-12
193,2,42,183,2024-11-18
194,114,9,182,2024-11-20
195,33,22,194,2025-05-05
196,18,19,28,2025-05-08
197,134,23,214,2024-12-02
198,181,38,69,2025-02-01
199,170,26,43,2025-04-24
200,110,6,43,2025-05-19
201,8,25,426,2024-08-24
202,119,10,35,2024-06-20
203,47,37,376,2024-09-14
204,16,34,316,2025-05-17
205,15,37,469,2024-09-04
206,105,34,24,2025-01-07
207,101,42,271,2024-12-05
208,113,17,43,2025-02-23
209,143,34,384,2024-11-05
210,53,31,424,2024-11-14
211,18,19,446,2025-04-22
212,105,34,357,2025-04-18
213,118,30,11,2025-03-08
214,125,24,335,2024-12-24
215,95,27,400,2025-03-04
216,180,31,143,2024-05-20
217,31,11,377,2024-10-22
218,23,14,265,2025-01-20
219,176,47,31,2025-04-24
220,77,38,61,2025-04-13
221,14,18,21,2024-07-09
222,69,6,229,2024-07-21
223,46,22,33,2025-05-04
224,59,23,123,2024-10-09
225,200,1,99,2024-06-20
226,123,49,172,2024-07-20
227,96,45,145,2025-03-28
228,128,18,265,2025-04-03
229,149,45,78,2024-11-14
230,22,34,59,2025-04-21
231,41,14,164,2025-02-18
232,152,10,314,2024-12-06
233,68,13,184,2024-11-30
234,43,43,119,2024-07-09
235,64,1,263,2024-11-15
236,199,49,159,2025-02-25
237,40,3,233,2025-05-17
238,163,50,19,2025-05-03
239,160,45,480,2024-10-07
240,46,22,426,2024-12-17
241,42,12,455,2024-08-20
242,25,34,303,2025-04-03
243,40,3,276,2024-11-05
244,13,49,283,2024-07-10
245,21,36,196,2024-12-04
246,98,31,483,2025-02-20
247,53,31,351,2024-10-17
248,93,13,420,2024-08-10
249,122,22,478,2025-03-17
250,90,6,19,2025-01-27
251,63,15,84,2024-09-02
252,25,34,151,2025-03-30
253,75,18,355,2024-07-17
254,162,21,129,2025-05-04
255,51,2,146,2024-12-12
256,53,31,381,2024-09-10
257,70,11,186,2025-01-13
258,120,21,231,2025-05-06
259,24,40,253,2025-02-02
260,46,22,418,2024-09-15
261,160,45,265,2024-10-06
262,187,26,458,2024-08-25
263,16,34,447,2025-01-21
264,10,40,42,2025-03-26
265,68,13,218,2024-06-20
266,131,42,384,2025-03-08
267,182,2,376,2025-04-21
268,188,34,16,2024-06-24
269,184,8,428,2025-04-02
270,87,37,359,2025-05-06
271,169,32,248,2024-11-12
272,64,1,412,2024-09-11
273,160,45,394,2025-01-31
274,136,44,381,2025-03-12
275,117,11,282,2024-08-07
276,3,23,35,2025-03-02
277,83,31,227,2025-05-17
278,184,8,293,2024-08-17
279,36,3,117,2025-01-14
280,73,37,437,2025-03-14
281,81,42,429,2025-02-19
282,62,47,130,2024-06-02
283,40,3,95,2024-08-22
284,73,37,67,2025-05-04
285,29,5,499,2025-03-31
286,188,34,111,2025-05-16
287,137,1,200,2025-05-06
288,111,36,298,2024-05-26
289,21,36,151,2025-02-26
290,162,21,395,2024-08-26
291,104,44,381,2024-06-30
292,146,32,251,2024-05-20
293,90,6,47,2025-01-29
294,12,19,359,2024-07-05
295,106,15,143,2024-10-12
296,199,49,375,2025-02-27
297,149,45,380,2025-04-21
298,108,26,51,2024-08-09
299,89,47,72,2024-06-09
300,166,17,358,2025-05-17
301,99,24,457,2024-06-08
302,168,46,324,2024-10-18
303,47,37,286,2024-11-01
304,187,26,422,2024-12-20
305,167,21,328,2024-07-18
306,28,6,179,2024-09-12
307,136,44,350,2024-06-07
308,81,42,277,2024-11-09
309,126,28,325,2024-12-09
310,188,34,384,2024-07-01
311,20,39,341,2024-12-23
312,48,45,194,2025-05-06
313,189,38,297,2024-07-14
314,9,48,178,2025-03-13
315,85,14,228,2024-06-19
316,90,6,186,2024-07-24
317,146,32,268,2024-08-25
318,162,21,427,2024-09-16
319,10,40,171,2024-08-18
320,151,36,157,2024-07-13
321,19,26,385,2024-12-24
322,22,34,99,2025-05-06
323,167,21,400,2024-08-05
324,149,45,262,2025-05-13
325,19,26,301,2025-04-01
326,82,22,281,2024-10-14
327,86,24,236,2025-02-20
328,46,22,340,2025-01-27
329,145,21,468,2025-03-07
330,8,25,123,2024-06-19
331,139,32,99,2024-07-01
332,123,49,194,2024-12-23
333,154,48,463,2024-10-29
334,155,34,210,2024-08-18
335,189,38,38,2025-04-06
336,188,34,438,2024-06-06
337,61,20,404,2024-09-17
338,79,22,211,2025-03-31
339,116,26,118,2025-01-09
340,64,1,478,2025-05-19
341,43,43,441,2024-10-29
342,11,15,300,2024-10-17
343,163,50,267,2024-10-05
344,41,14,143,2025-04-16
345,50,7,193,2024-10-21
346,81,42,442,2024-07-14
347,162,21,315,2025-03-26
348,52,45,160,2024-11-24
349,46,22,59,2025-02-19
350,188,34,105,2025-03-17
351,99,24,267,2024-10-30
352,112,27,474,2025-05-13
353,155,34,35,2024-09-30
354,137,1,84,2024-09-20
355,6,39,74,2025-01-14
356,25,34,359,2024-12-20
357,149,45,412,2024-11-03
358,112,27,51,2025-03-27
359,99,24,85,2025-02-23
360,115,31,196,2024-10-09
361,59,23,477,2024-08-22
362,1,19,159,2024-08-21
363,181,38,432,2024-11-03
364,116,26,23,2024-05-30
365,157,39,264,2024-06-06
366,82,22,198,2024-10-11
367,4,49,100,2024-06-24
368,149,45,140,2024-09-17
369,54,40,180,2024-11-24
370,199,49,60,2024-06-30
371,180,31,222,2025-04-06
372,87,37,184,2025-05-06
373,179,38,393,2024-06-15
374,12,19,120,2024-12-17
375,160,45,201,2024-10-20
376,169,32,146,2024-10-09
377,6,39,266,2025-05-01
378,78,50,332,2024-09-22
379,103,5,227,2025-01-31
380,72,46,92,2024-11-15
381,117,11,358,2025-02-04
382,106,15,198,2024-11-25
383,162,21,292,2024-06-21
384,94,31,485,2025-03-24
385,121,30,199,2025-05-05
386,142,50,462,2025-01-20
387,150,5,421,2025-04-28
388,61,20,199,2025-02-28
389,87,37,418,2024-07-26
390,131,42,323,2025-02-09
391,34,47,221,2025-04-14
392,161,19,477,2024-10-02
393,93,13,174,2025-03-20
394,179,38,435,2024-09-16
395,106,15,163,2025-01-16
396,84,42,174,2025-04-05
397,42,12,78,2024-08-14
398,194,2,149,2024-12-26
399,109,45,121,2025-01-08
400,34,47,288,2024-07-15
401,62,47,411,2024-11-14
402,111,36,387,2024-12-22
403,152,10,362,2024-07-25
404,66,10,176,2025-05-07
405,89,47,228,2024-07-04
406,71,32,424,2024-12-22
407,10,40,32,2024-11-28
408,177,22,15,2025-03-18
409,88,9,144,2024-06-18
410,84,42,455,2025-01-19
411,82,22,209,2024-11-08
412,1,19,263,2025-05-06
413,80,46,174,2024-07-06
414,35,38,494,2025-01-10
415,137,1,19,2025-05-12
416,192,28,307,2024-12-15
417,126,28,333,2025-04-18
418,91,28,142,2025-03-09
419,60,31,99,2025-03-24
420,79,22,317,2025-05-20
421,83,31,57,2024-10-05
422,109,45,51,2024-05-26
423,128,18,267,2024-10-02
424,60,31,247,2025-01-14
425,138,41,211,2025-03-30
426,161,19,44,2024-09-29
427,45,23,202,2024-07-01
428,194,2,291,2025-05-18
429,100,45,439,2024-09-23
430,150,5,117,2024-06-23
431,151,36,383,2024-12-16
432,96,45,112,2025-02-02
433,1,19,126,2024-07-06
434,70,11,369,2024-08-15
435,91,28,446,2024-12-05
436,106,15,490,2024-08-28
437,76,33,267,2025-02-12
438,194,2,10,2025-03-21
439,76,33,165,2025-04-11
440,76,33,118,2024-08-03
441,125,24,48,2024-09-08
442,103,5,381,2024-06-24
443,104,44,466,2025-03-01
444,85,14,473,2025-01-08
445,180,31,32,2024-11-25
446,124,20,76,2024-10-17
447,43,43,40,2024-11-10
448,76,33,11,2024-06-10
449,144,37,469,2025-01-24
450,142,50,430,2024-12-01
451,191,10,157,2025-03-01
452,100,45,168,2024-12-26
453,117,11,454,2025-01-09
454,33,22,499,2024-12-24
455,74,6,374,2024-08-03
456,174,40,299,2024-08-06
457,188,34,46,2025-04-10
458,75,18,356,2024-08-30
459,101,42,37,2024-06-11
460,135,16,131,2025-03-16
461,147,21,225,2025-01-09
462,176,47,50,2025-04-19
463,56,33,35,2024-06-25
464,134,23,142,2024-10-12
465,146,32,441,2024-10-12
466,184,8,105,2024-11-19
467,161,19,159,2025-04-06
468,42,12,430,2025-02-10
469,24,40,338,2024-08-09
470,59,23,309,2025-05-13
471,65,21,328,2025-01-06
472,14,18,115,2024-09-11
473,149,45,132,2025-05-14
474,62,47,308,2024-11-28
475,138,41,426,2025-04-02
476,33,22,261,2024-05-21
477,41,14,425,2024-08-23
478,141,38,16,2025-03-11
479,183,45,131,2024-10-17
480,161,19,450,2025-04-12
481,147,21,114,2024-10-19
482,194,2,47,2025-03-25
483,105,34,26,2024-09-04
484,26,13,418,2024-05-22
485,191,10,478,2024-07-08
486,123,49,88,2024-10-01
487,49,20,246,2025-01-08
488,153,4,11,2025-03-03
489,104,44,313,2024-09-14
490,149,45,435,2025-01-30
491,172,46,328,2025-03-18
492,6,39,195,2025-03-10
493,20,39,257,2024-07-28
494,194,2,425,2025-02-27
495,169,32,390,2025-04-13
496,66,10,416,2024-05-21
497,111,36,285,2024-06-25
498,121,30,251,2024-06-23
499,136,44,55,2024-10-12
500,86,24,274,2025-02-18
